City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
549,Innisfail,AU,-17.5333,146.0333,79.23,84,62,2.95,broken clouds
550,Husavik,IS,66.0449,-17.3389,23.58,86,100,5.53,light snow
551,Zhigansk,RU,66.7697,123.3711,-38.15,100,100,4.41,overcast clouds
552,Ismailia,EG,30.6043,32.2723,64.76,79,5,9.08,clear sky
553,Turkmenabat,TM,39.0733,63.5786,52.92,39,0,10.42,clear sky
554,Portland,US,45.5234,-122.6762,58.57,89,90,1.01,overcast clouds
555,Cruzeiro Do Sul,BR,-29.5128,-51.9853,83.52,46,0,6.13,clear sky
556,Birjand,IR,32.8663,59.2211,50.49,50,0,2.57,clear sky
557,Kesinga,IN,20.2,83.2333,60.12,67,3,0.94,clear sky
558,Itapira,BR,-22.4361,-46.8217,74.21,90,58,4.54,broken clouds
559,Porosozero,RU,62.7191,32.727,17.76,91,100,8.3,light snow
560,Palaikastron,GR,35.2,26.25,59.76,56,32,31.21,scattered clouds
561,Deputatskiy,RU,69.3,139.9,-19.08,95,100,5.21,overcast clouds
562,Vestmanna,FO,62.1564,-7.1664,32.92,80,75,3.44,broken clouds
563,Griffith,US,41.5284,-87.4237,53.98,47,1,1.01,clear sky
564,Agadez,NE,19.75,10.25,69.53,23,64,10.13,broken clouds
565,Dublin,US,37.7021,-121.9358,74.03,49,1,1.01,clear sky
566,Evensk,RU,61.95,159.2333,4.05,96,100,8.5,light snow
567,Taihe,CN,30.8712,105.3845,47.61,68,7,4.43,clear sky
568,Manakara,MG,-22.1333,48.0167,74.5,93,39,6.35,light rain
569,Yumen,CN,40.2833,97.2,17.58,67,68,14.25,broken clouds
570,Sambalpur,IN,21.45,83.9667,60.94,56,2,4.05,clear sky
571,Peristera,GR,40.55,23.1667,38.12,47,20,20.0,few clouds
572,Sinnamary,GF,5.3833,-52.95,80.13,83,97,9.17,moderate rain
573,Liteni,RO,47.5667,26.2,40.53,56,0,10.36,clear sky
574,Aksu,CN,41.1231,80.2644,24.28,51,6,0.51,clear sky
575,Darab,IR,28.7519,54.5444,57.79,34,0,3.83,clear sky
576,Banda Aceh,ID,5.5577,95.3222,77.05,87,100,7.25,overcast clouds
577,Luwuk,ID,-0.9516,122.7875,78.49,74,99,2.04,overcast clouds
578,Tabuk,PH,17.4189,121.4443,73.09,93,98,10.92,overcast clouds
579,San Andres,CO,12.5847,-81.7006,82.42,83,40,12.66,scattered clouds
580,Macamic,CA,48.7502,-78.9996,26.83,96,100,8.68,light snow
581,Levelland,US,33.5873,-102.378,75.18,14,70,10.67,broken clouds
582,Asyut,EG,27.181,31.1837,71.04,40,100,11.92,overcast clouds
583,Japura,ID,-0.3167,102.35,74.39,80,76,1.88,broken clouds
584,Solnechnyy,RU,50.7214,136.6319,6.4,92,100,12.44,light snow
585,Guayaramerin,BO,-10.8368,-65.3614,82.09,83,98,1.81,moderate rain
586,Tenenkou,ML,14.4572,-4.9169,81.14,11,29,9.55,scattered clouds
587,Ponta Delgada,PT,37.7333,-25.6667,63.5,88,40,14.97,scattered clouds
588,Viedma,AR,-40.8135,-62.9967,75.24,22,6,20.8,clear sky
589,Kaoma,ZM,-14.7833,24.8,71.1,37,12,5.06,few clouds
590,Nantucket,US,41.2835,-70.0995,39.99,66,100,19.62,overcast clouds
591,Mehamn,NO,71.0357,27.8492,21.38,73,0,2.3,clear sky
592,Norwalk,US,33.9022,-118.0817,92.3,63,1,1.99,haze
593,Longido,TZ,-2.7333,36.6833,66.33,82,90,11.36,overcast clouds
594,Arlit,NE,18.7369,7.3853,73.31,22,99,6.49,overcast clouds
595,Surt,LY,31.2089,16.5887,62.6,53,8,11.81,clear sky
596,Blucina,CZ,49.055,16.6445,39.47,84,90,10.36,overcast clouds
597,Sao Felix Do Xingu,BR,-6.6447,-51.995,81.84,72,92,1.1,overcast clouds
598,Mahenge,TZ,-8.6833,36.7167,65.5,87,41,2.84,scattered clouds
599,Garavuti,TJ,37.5672,68.4469,43.45,34,11,4.92,few clouds
600,Guerrero Negro,MX,27.9769,-114.0611,71.83,55,0,12.66,clear sky
601,Grand Gaube,MU,-20.0064,57.6608,74.37,74,1,3.0,clear sky
602,Salalah,OM,17.0151,54.0924,75.29,27,0,4.61,clear sky
603,Matara,LK,5.9485,80.5353,75.85,91,71,2.84,broken clouds
604,Baykit,RU,61.67,96.37,19.04,93,100,9.93,light snow
605,Makat,KZ,47.6469,53.3463,46.56,65,100,15.7,overcast clouds
606,Frontera,MX,26.9333,-101.45,78.33,38,40,6.91,scattered clouds
607,Chapais,CA,49.7834,-74.8492,16.02,93,100,2.91,overcast clouds
608,Abeche,TD,13.8292,20.8324,78.73,19,4,8.41,clear sky
609,Mahajanga,MG,-15.7167,46.3167,79.7,80,14,6.46,moderate rain
610,Laguna De Perlas,NI,12.3429,-83.6712,81.03,72,17,17.6,few clouds
611,Tiarei,PF,-17.5333,-149.3333,86.02,78,100,21.07,light rain
612,Yinchuan,CN,38.4681,106.2731,27.03,31,2,5.64,clear sky
613,Teguise,ES,29.0605,-13.564,61.02,72,20,5.75,few clouds
614,Kokopo,PG,-4.352,152.2633,80.92,75,84,3.13,broken clouds
615,Micheweni,TZ,-4.9667,39.8333,78.6,86,92,7.94,light rain
616,Sangar,RU,63.9242,127.4739,-15.79,94,100,6.87,overcast clouds
617,Sivaki,RU,52.6333,126.75,-3.23,94,5,5.84,clear sky
618,Puebloviejo,CO,10.9938,-74.2844,82.6,72,30,5.03,scattered clouds
619,Ust-Ilimsk,RU,58.0006,102.6619,22.77,92,100,12.91,light snow
620,Bumba,CD,2.1833,22.4667,68.85,98,94,3.0,overcast clouds
621,Staryy Krym,UA,45.0333,35.1,32.45,97,95,29.19,snow
622,Ceska Ves,CZ,50.2574,17.2281,37.83,93,100,18.3,overcast clouds
